City,Price,Number_Beds,Number_Baths,Province,Population,Latitude,Longitude,Median_Family_Income
Toronto,899000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,738000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,619990.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1150000.0,3.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3495000.0,5.0,6.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2588168.0,4.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1699000.0,5.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799999.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2449000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1139900.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1199000.0,6.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,719000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,3.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1599000.0,5.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,729000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1390000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,558900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1799000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,579900.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1089000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,865000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899900.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,599900.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2495000.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,549000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1190000.0,4.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,625000.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2799000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,809000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,779000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2750000.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,679000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,5899000.0,5.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1200000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3999000.0,4.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,849900.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,649000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3500000.0,6.0,4.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,749000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2665000.0,6.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,915000.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,729888.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,819900.0,3.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,739000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,3288000.0,6.0,5.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,850000.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,2028900.0,3.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,899888.0,4.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1250000.0,5.0,3.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,836000.0,2.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,1499000.0,6.0,2.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,799888.0,1.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
Toronto,850900.0,2.0,1.0,Ontario,5647656,43.7417,-79.3733,97000.0
